Word,Type,Letters,Syllables,K&F,ANEW,,Personal Use,,Familiarity,,Offensiveness,,Tabooness,,Valence,,Arousal,,Imageability,
,,,,Freq.,Valence,Arousal,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD
pest,neg hi ar,4,1,4,"2,76","5,77","3,27","2,36","4,16","2,26","1,66","1,20","1,68","1,29","3,45","1,19","2,36","2,04","3,91","2,38"
tool,unrel neu,4,1,40,"4,91","3,91","4,32","2,44","5,39","2,32","1,30","1,09","1,68","1,88","4,66","1,06","1,68","1,52","5,82","2,78"
savior,pos hi ar,6,2,6,"7,72","5,76","3,49","2,70","4,49","2,83","1,09","0,42","1,64","1,21","7,22","1,31","3,33","2,59","4,78","3,09"
stench,neg lo ar,6,1,1,"1,82","4,57","3,09","2,19","4,05","2,43","1,70","1,26","1,63","1,25","3,00","1,13","2,72","2,05","2,30","1,71"
defeated,neg lo ar,8,3,15,"2,28","5,65","4,04","2,41","5,31","2,16","2,09","2,13","1,62","1,28","3,07","1,10","2,45","1,78","2,73","1,97"
outrage,neg hi ar,7,2,4,"3,35","7,15","3,98","2,21","5,29","2,38","1,38","0,94","1,62","1,15","3,13","1,18","3,18","2,35","3,36","2,28"
scared,neg hi ar,6,1,21,"2,08","6,81","5,98","2,33","6,36","2,38","1,31","1,00","1,62","1,37","3,20","0,94","3,33","2,24","3,96","2,60"
fur,unrel neu,3,1,13,"4,00","4,48","4,20","2,65","4,76","2,79","1,51","1,38","1,62","1,35","4,80","1,08","2,20","1,63","7,71","1,65"
moody,neg lo ar,5,2,5,"2,96","4,33","5,67","2,09","6,18","2,41","1,89","1,84","1,60","1,36","3,38","0,98","2,38","1,89","2,89","2,50"
fault,neg lo ar,5,1,22,"3,75","4,45","5,36","2,23","6,14","2,28","1,70","1,52","1,59","1,39","3,52","1,00","2,18","1,50","2,07","1,90"
nuisance,neg lo ar,8,2,5,"2,85","4,60","2,98","2,23","4,32","2,25","1,77","1,76","1,59","1,45","3,52","1,15","1,86","1,46","2,14","1,89"
trauma,neg hi ar,6,2,1,"1,77","6,54","4,22","2,25","5,64","2,42","1,40","1,03","1,58","1,45","2,80","1,42","3,36","2,38","3,20","1,97"
